# Data e+e- -> pi+pi-
# Source: BESIII, 2016-PL-B753-629
# s [GeV^2], |F_pi|^2, err. |F_pi|^2, err. |F_pi|^2
Code,Abbrev,x,y,dy+,dy-
101,Ablikim-16,0.3630,6.9000,0.4000,0.4000
101,Ablikim-16,0.3691,7.4000,0.4000,0.4000
101,Ablikim-16,0.3752,8.2000,0.4000,0.4000
101,Ablikim-16,0.3813,8.7000,0.4000,0.4000
101,Ablikim-16,0.3875,9.2000,0.4000,0.4000
101,Ablikim-16,0.3938,9.8000,0.4000,0.4000
101,Ablikim-16,0.4001,10.4000,0.5000,0.5000
101,Ablikim-16,0.4064,11.0000,0.5000,0.5000
101,Ablikim-16,0.4128,11.8000,0.5000,0.5000
101,Ablikim-16,0.4193,12.5000,0.5000,0.5000
101,Ablikim-16,0.4258,13.2000,0.5000,0.5000
101,Ablikim-16,0.4323,13.6000,0.5000,0.5000
101,Ablikim-16,0.4389,14.7000,0.5000,0.5000
101,Ablikim-16,0.4456,16.0000,0.6000,0.6000
101,Ablikim-16,0.4523,17.7000,0.6000,0.6000
101,Ablikim-16,0.4590,17.8000,0.6000,0.6000
101,Ablikim-16,0.4658,18.8000,0.6000,0.6000
101,Ablikim-16,0.4727,20.6000,0.6000,0.6000
101,Ablikim-16,0.4796,22.5000,0.7000,0.7000
101,Ablikim-16,0.4865,24.9000,0.7000,0.7000
101,Ablikim-16,0.4935,26.2000,0.7000,0.7000
101,Ablikim-16,0.5006,26.6000,0.7000,0.7000
101,Ablikim-16,0.5077,29.3000,0.8000,0.8000
101,Ablikim-16,0.5148,32.0000,0.8000,0.8000
101,Ablikim-16,0.5220,33.2000,0.9000,0.9000
101,Ablikim-16,0.5293,33.6000,0.9000,0.9000
101,Ablikim-16,0.5366,36.2000,0.9000,0.9000
101,Ablikim-16,0.5439,38.2000,0.9000,0.9000
101,Ablikim-16,0.5513,39.3000,0.9000,0.9000
101,Ablikim-16,0.5588,40.9000,1.0000,1.0000
101,Ablikim-16,0.5663,41.8000,1.0000,1.0000
101,Ablikim-16,0.5738,43.6000,1.0000,1.0000
101,Ablikim-16,0.5814,44.8000,1.0000,1.0000
101,Ablikim-16,0.5891,45.0000,1.0000,1.0000
101,Ablikim-16,0.5968,45.2000,1.0000,1.0000
101,Ablikim-16,0.6045,43.7000,1.0000,1.0000
101,Ablikim-16,0.6123,37.1000,0.9000,0.9000
101,Ablikim-16,0.6202,30.3000,0.8000,0.8000
101,Ablikim-16,0.6281,30.6000,0.8000,0.8000
101,Ablikim-16,0.6360,30.1000,0.8000,0.8000
101,Ablikim-16,0.6440,27.7000,0.8000,0.8000
101,Ablikim-16,0.6521,25.9000,0.7000,0.7000
101,Ablikim-16,0.6602,25.5000,0.8000,0.8000
101,Ablikim-16,0.6683,24.1000,0.7000,0.7000
101,Ablikim-16,0.6765,22.9000,0.7000,0.7000
101,Ablikim-16,0.6848,21.4000,0.7000,0.7000
101,Ablikim-16,0.6931,19.8000,0.7000,0.7000
101,Ablikim-16,0.7014,18.1000,0.6000,0.6000
101,Ablikim-16,0.7098,16.4000,0.6000,0.6000
101,Ablikim-16,0.7183,16.0000,0.6000,0.6000
101,Ablikim-16,0.7268,15.0000,0.6000,0.6000
101,Ablikim-16,0.7353,14.2000,0.6000,0.6000
101,Ablikim-16,0.7439,13.0000,0.6000,0.6000
101,Ablikim-16,0.7526,12.1000,0.5000,0.5000
101,Ablikim-16,0.7613,11.0000,0.5000,0.5000
101,Ablikim-16,0.7700,10.3000,0.5000,0.5000
101,Ablikim-16,0.7788,10.0000,0.5000,0.5000
101,Ablikim-16,0.7877,9.9000,0.5000,0.5000
101,Ablikim-16,0.7966,8.7000,0.4000,0.4000
101,Ablikim-16,0.8055,7.9000,0.4000,0.4000
# s [GeV^2], sigma_dressed [nb], err. sigma_dressed, err. sigma_dressed
103,Ablikim-16,0.3630,288.3364,15.2020,15.2020
103,Ablikim-16,0.3691,306.5512,15.4977,15.4977
103,Ablikim-16,0.3752,332.6452,16.2926,16.2926
103,Ablikim-16,0.3813,352.2277,16.2876,16.2876
103,Ablikim-16,0.3875,367.2954,16.5819,16.5819
103,Ablikim-16,0.3938,389.5348,17.6746,17.6746
103,Ablikim-16,0.4001,407.2662,17.9679,17.9679
103,Ablikim-16,0.4064,425.6834,18.0614,18.0614
103,Ablikim-16,0.4128,452.3664,18.9528,18.9528
103,Ablikim-16,0.4193,476.3380,18.4476,18.4476
103,Ablikim-16,0.4258,495.7967,19.4375,19.4375
103,Ablikim-16,0.4323,507.3789,19.3310,19.3310
103,Ablikim-16,0.4389,541.2537,19.8219,19.8219
103,Ablikim-16,0.4456,582.5054,20.4131,20.4131
103,Ablikim-16,0.4523,639.7569,22.0990,22.0990
103,Ablikim-16,0.4590,637.3649,20.8979,20.8979
103,Ablikim-16,0.4658,664.5855,21.7889,21.7889
103,Ablikim-16,0.4727,720.5542,22.7793,22.7793
103,Ablikim-16,0.4796,779.2788,23.0762,23.0762
103,Ablikim-16,0.4865,853.9743,25.1650,25.1650
103,Ablikim-16,0.4935,889.0910,25.2674,25.2674
103,Ablikim-16,0.5006,893.2832,24.8757,24.8757
103,Ablikim-16,0.5077,974.1033,26.4796,26.4796
103,Ablikim-16,0.5148,1054.8421,27.7899,27.7899
103,Ablikim-16,0.5220,1082.4090,28.2088,28.2088
103,Ablikim-16,0.5293,1085.8158,27.6370,27.6370
103,Ablikim-16,0.5366,1158.1442,29.1861,29.1861
103,Ablikim-16,0.5439,1207.3754,29.6246,29.6246
103,Ablikim-16,0.5513,1231.7439,29.0485,29.0485
103,Ablikim-16,0.5588,1267.1035,30.3972,30.3972
103,Ablikim-16,0.5663,1281.8720,29.9439,29.9439
103,Ablikim-16,0.5738,1323.5540,31.4933,31.4933
103,Ablikim-16,0.5814,1347.9128,31.1153,31.1153
103,Ablikim-16,0.5891,1340.0056,31.0138,31.0138
103,Ablikim-16,0.5968,1332.3649,30.7704,30.7704
103,Ablikim-16,0.6045,1275.6285,29.3358,29.3358
103,Ablikim-16,0.6123,1071.7730,27.7453,27.7453
103,Ablikim-16,0.6202,865.8523,25.8970,25.8970
103,Ablikim-16,0.6281,867.1591,25.2062,25.2062
103,Ablikim-16,0.6360,844.5315,24.5180,24.5180
103,Ablikim-16,0.6440,767.5775,23.1696,23.1696
103,Ablikim-16,0.6521,711.4835,21.5627,21.5627
103,Ablikim-16,0.6602,693.7045,21.9567,21.9567
103,Ablikim-16,0.6683,649.9651,20.7906,20.7906
103,Ablikim-16,0.6765,610.8143,20.3623,20.3623
103,Ablikim-16,0.6848,564.3400,18.8894,18.8894
103,Ablikim-16,0.6931,517.7302,18.4616,18.4616
103,Ablikim-16,0.7014,469.5021,17.5134,17.5134
103,Ablikim-16,0.7098,421.6214,15.8362,15.8362
103,Ablikim-16,0.7183,407.4426,16.0359,16.0359
103,Ablikim-16,0.7268,378.8056,15.6106,15.6106
103,Ablikim-16,0.7353,353.2166,14.5618,14.5618
103,Ablikim-16,0.7439,322.2439,14.2415,14.2415
103,Ablikim-16,0.7526,294.8390,13.5060,13.5060
103,Ablikim-16,0.7613,266.3182,12.8749,12.8749
103,Ablikim-16,0.7700,246.2362,11.8296,11.8296
103,Ablikim-16,0.7788,238.2030,12.0296,12.0296
103,Ablikim-16,0.7877,232.1441,12.0220,12.0220
103,Ablikim-16,0.7966,203.1043,10.8752,10.8752
103,Ablikim-16,0.8055,182.0702,10.0404,10.0404
# Data e+e- -> pi+pi-
# Source: BESIII, 2021-PL-B812-135982
# s [GeV^2], |F_pi|^2, err. |F_pi|^2, err. |F_pi|^2
Code,Abbrev,x,y,dy+,dy-
101,Ablikim-21,0.3630,6.9000,0.3000,0.3000
101,Ablikim-21,0.3691,7.4000,0.3000,0.3000
101,Ablikim-21,0.3752,8.2000,0.3000,0.3000
101,Ablikim-21,0.3813,8.7000,0.3000,0.3000
101,Ablikim-21,0.3875,9.2000,0.3000,0.3000
101,Ablikim-21,0.3938,9.8000,0.3000,0.3000
101,Ablikim-21,0.4001,10.4000,0.3000,0.3000
101,Ablikim-21,0.4064,11.0000,0.3000,0.3000
101,Ablikim-21,0.4128,11.8000,0.4000,0.4000
101,Ablikim-21,0.4193,12.5000,0.4000,0.4000
101,Ablikim-21,0.4258,13.2000,0.4000,0.4000
101,Ablikim-21,0.4323,13.6000,0.4000,0.4000
101,Ablikim-21,0.4389,14.7000,0.4000,0.4000
101,Ablikim-21,0.4456,16.0000,0.4000,0.4000
101,Ablikim-21,0.4523,17.7000,0.5000,0.5000
101,Ablikim-21,0.4590,17.8000,0.5000,0.5000
101,Ablikim-21,0.4658,18.8000,0.5000,0.5000
101,Ablikim-21,0.4727,20.6000,0.5000,0.5000
101,Ablikim-21,0.4796,22.5000,0.5000,0.5000
101,Ablikim-21,0.4865,24.9000,0.6000,0.6000
101,Ablikim-21,0.4935,26.2000,0.6000,0.6000
101,Ablikim-21,0.5006,26.6000,0.6000,0.6000
101,Ablikim-21,0.5077,29.3000,0.7000,0.7000
101,Ablikim-21,0.5148,32.0000,0.7000,0.7000
101,Ablikim-21,0.5220,33.2000,0.8000,0.8000
101,Ablikim-21,0.5293,33.6000,0.8000,0.8000
101,Ablikim-21,0.5366,36.2000,0.7000,0.7000
101,Ablikim-21,0.5439,38.2000,0.8000,0.8000
101,Ablikim-21,0.5513,39.3000,0.8000,0.8000
101,Ablikim-21,0.5588,40.9000,0.9000,0.9000
