# G_eff^p effective proton data in timelike region
Code,Abbrev,x,y,dy+,dy-
13,Antonelli-98,3.6100,0.4100,0.1100,0.0900
13,Antonelli-98,3.6900,0.3600,0.0500,0.0500
13,Antonelli-98,4.0000,0.2400,0.0300,0.0300
13,Antonelli-98,4.4200,0.2200,0.0200,0.0200
13,Antonelli-98,5.9500,0.1500,0.0300,0.0300
13,Ambrogiani-99,8.8400,0.0417,0.0033,0.0029
13,Ambrogiani-99,10.7800,0.0240,0.0080,0.0096
13,Ambrogiani-99,12.4300,0.0158,0.0016,0.0016
13,Ambrogiani-99,13.1100,0.0124,0.0020,0.0019
13,Ambrogiani-99,14.3600,0.0151,0.0101,0.0060
13,Lees-13,3.5664,0.4240,0.0140,0.0140
13,Lees-13,3.6577,0.3550,0.0120,0.0120
13,Lees-13,3.7539,0.3090,0.0100,0.0100
13,Lees-13,3.8514,0.2860,0.0100,0.0100
13,Lees-13,3.9502,0.2810,0.0090,0.0090
13,Lees-13,4.0502,0.2710,0.0090,0.0090
13,Lees-13,4.1514,0.2660,0.0090,0.0090
13,Lees-13,4.2539,0.2470,0.0090,0.0090
13,Lees-13,4.3577,0.2520,0.0090,0.0090
13,Lees-13,4.4627,0.2470,0.0080,0.0080
13,Lees-13,4.5689,0.2270,0.0090,0.0090
13,Lees-13,4.6764,0.2060,0.0090,0.0090
13,Lees-13,4.7852,0.1820,0.0090,0.0090
13,Lees-13,4.8952,0.1730,0.0080,0.0080
13,Lees-13,5.0064,0.1710,0.0080,0.0080
13,Lees-13,5.1189,0.1340,0.0090,0.0090
13,Lees-13,5.2327,0.1250,0.0090,0.0090
13,Lees-13,5.4056,0.1060,0.0070,0.0070
13,Lees-13,5.6406,0.0910,0.0080,0.0080
13,Lees-13,5.8806,0.0960,0.0060,0.0060
13,Lees-13,6.1256,0.0910,0.0060,0.0060
13,Lees-13,6.3756,0.0840,0.0050,0.0050
13,Lees-13,6.6306,0.0690,0.0060,0.0060
13,Lees-13,6.8906,0.0600,0.0060,0.0060
13,Lees-13,7.1556,0.0500,0.0060,0.0060
13,Lees-13,7.4256,0.0580,0.0060,0.0060
13,Lees-13,7.7006,0.0530,0.0060,0.0060
13,Lees-13,7.9806,0.0420,0.0060,0.0060
13,Lees-13,8.2656,0.0520,0.0060,0.0060
13,Lees-13,8.5556,0.0440,0.0060,0.0060
13,Lees-13,8.8506,0.0460,0.0060,0.0060
13,Lees-13,9.6100,0.0220,0.0070,0.0070
13,Lees-13,10.8900,0.0270,0.0040,0.0040
13,Lees-13,12.2500,0.0150,0.0030,0.0030
13,Lees-13,13.6900,0.0180,0.0040,0.0040
13,Lees-13,15.2100,0.0050,0.0050,0.0050
13,Lees-13,17.0156,0.0080,0.0040,0.0040
13,Lees-13,19.1406,0.0080,0.0040,0.0040
13,Ablikim-15,4.9836,0.1610,0.0047,0.0047
13,Ablikim-15,5.7600,0.1007,0.0042,0.0042
13,Ablikim-15,7.8400,0.0445,0.0042,0.0042
13,Ablikim-15,9.3025,0.0329,0.0019,0.0019
13,Ablikim-15,9.3636,0.0303,0.0020,0.0020
13,Ablikim-15,9.4864,0.0311,0.0014,0.0014
13,Ablikim-15,11.5600,0.0154,0.0058,0.0058
13,Ablikim-15,12.2500,0.0173,0.0045,0.0045
13,Ablikim-15,12.6075,0.0167,0.0029,0.0029
13,Ablikim-15,12.9614,0.0178,0.0043,0.0043
13,Ablikim-15,13.3225,0.0126,0.0013,0.0013
