# Proton ratios mu_p*G_E^p/G_M^p
# Source: compare with 10.1103/PhysRevC.101.035206 (Liyanage-20)
Code,Abbrev,x,y,dy+,dy-
21,Milbrath-98,-0.3800,0.9500,0.0539,0.0539
21,Milbrath-98,-0.3800,1.0000,0.1020,0.1020
21,Milbrath-98,-0.5000,1.0200,0.0539,0.0539
21,Milbrath-98,-0.5000,1.0700,0.0632,0.0632
21,Dieterich-01,-0.4000,0.8800,0.0412,0.0412
21,Pospischil-01,-0.3730,0.9990,0.0539,0.0539
21,Pospischil-01,-0.4010,1.0110,0.0527,0.0527
21,Pospischil-01,-0.4410,0.9360,0.0511,0.0511
21,Gayou-01,-0.3200,0.9300,0.0674,0.0674
21,Gayou-01,-0.3500,0.9100,0.0611,0.0611
21,Gayou-01,-0.3900,0.9610,0.0334,0.0334
21,Gayou-01,-0.4600,0.9520,0.0345,0.0345
21,Gayou-01,-0.5700,0.9590,0.0396,0.0396
21,Gayou-01,-0.7600,0.9660,0.0351,0.0351
21,Gayou-01,-0.8600,0.8650,0.0326,0.0326
21,Gayou-01,-0.8800,0.9230,0.0870,0.0870
21,Gayou-01,-1.0200,0.9000,0.0439,0.0439
21,Gayou-01,-1.1200,0.8250,0.0336,0.0336
21,Gayou-01,-1.1800,0.8510,0.0550,0.0550
21,Gayou-01,-1.4200,0.7330,0.0648,0.0648
21,Gayou-01,-1.7600,0.8160,0.1341,0.1341
# 21,Gayou-02,-3.5000,0.5710,0.0723,0.0723
# 21,Gayou-02,-3.9700,0.4820,0.0526,0.0526
# 21,Gayou-02,-4.7500,0.3820,0.0541,0.0541
# 21,Gayou-02,-5.5400,0.2730,0.0914,0.0914
21,Strauch-03,-0.5000,0.8950,0.0503,0.0503
21,Strauch-03,-1.0000,0.8680,0.0396,0.0396
21,Strauch-03,-1.6000,0.9920,0.0436,0.0436
21,Strauch-03,-2.6000,0.8690,0.1279,0.1279
21,Punjabi-05,-0.4900,0.9790,0.0171,0.0171
21,Punjabi-05,-0.7900,0.9510,0.0156,0.0156
21,Punjabi-05,-1.1800,0.8830,0.0222,0.0222
21,Punjabi-05,-1.4800,0.7980,0.0389,0.0389
21,Punjabi-05,-1.7700,0.7890,0.0424,0.0424
21,Punjabi-05,-1.8800,0.7770,0.0408,0.0408
21,Punjabi-05,-2.1300,0.7470,0.0467,0.0467
21,Punjabi-05,-2.4700,0.7030,0.0402,0.0402
21,Punjabi-05,-2.9700,0.6150,0.0358,0.0358
21,Punjabi-05,-3.4700,0.6060,0.0443,0.0443
21,MacLachlan-06,-1.1300,0.8780,0.0659,0.0659
21,Hu-06,-0.4300,0.9940,0.0344,0.0344
21,Hu-06,-1.0000,0.8790,0.0256,0.0256
21,Hu-06,-1.6100,0.8650,0.0531,0.0531
21,Crawford-07,-0.1620,1.0190,0.0198,0.0198
21,Crawford-07,-0.1910,1.0060,0.0184,0.0184
21,Crawford-07,-0.2320,0.9990,0.0170,0.0170
21,Crawford-07,-0.2820,0.9730,0.0163,0.0163
21,Crawford-07,-0.3450,0.9730,0.0172,0.0172
21,Crawford-07,-0.4190,0.9800,0.0184,0.0184
21,Crawford-07,-0.5000,0.9930,0.0206,0.0206
21,Crawford-07,-0.5910,0.9610,0.0260,0.0260
# 21,Puckett-10,-5.1700,0.4430,0.0684,0.0684
# 21,Puckett-10,-6.7000,0.3270,0.1073,0.1073
# 21,Puckett-10,-8.4900,0.1380,0.1841,0.1841
21,Paolone-10,-0.8000,0.9010,0.0122,0.0122
21,Paolone-10,-1.3000,0.8580,0.0206,0.0206
# 21,Meziane-11,-2.5000,0.6923,0.0058,0.0058
21,Ron-11,-0.2150,0.8250,0.0509,0.0509
21,Ron-11,-0.2350,0.9433,0.0438,0.0438
21,Ron-11,-0.2510,0.9882,0.0440,0.0440
21,Ron-11,-0.2650,0.9833,0.0370,0.0370
21,Ron-11,-0.3080,0.9320,0.0171,0.0171
21,Ron-11,-0.3460,0.9318,0.0146,0.0146
21,Ron-11,-0.4000,0.9172,0.0151,0.0151
21,Ron-11,-0.4740,0.9225,0.0204,0.0204
21,Zhan-11,-0.2980,0.9272,0.0134,0.0134
21,Zhan-11,-0.3460,0.9433,0.0128,0.0128
21,Zhan-11,-0.4020,0.9318,0.0101,0.0101
21,Zhan-11,-0.4490,0.9314,0.0094,0.0094
